File,Output_folder,Experiment,MS_Plate,Fraction,Parameter_group,PTM,Reference_channel,File_order,Compound_order,Project,Comments
180621_P90051_QE_HFX_Rice_Missi_Sample_1_HpH_1,Coleoptile,Coleoptile,MMM,1,0,False,,1,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_1_HpH_-1,Coleoptile,Coleoptile,MMM,1,0,False,,2,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_1_HpH_2,Coleoptile,Coleoptile,MMM,1,0,False,,3,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_1_HpH_-2,Coleoptile,Coleoptile,MMM,1,0,False,,4,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_1_HpH_3,Coleoptile,Coleoptile,MMM,1,0,False,,5,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_2_HpH_-1,Radicle,Radicle,MMM,1,0,False,,14,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_2_HpH_1,Radicle,Radicle,MMM,1,0,False,,15,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_2_HpH_2,Radicle,Radicle,MMM,1,0,False,,16,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_2_HpH_-2,Radicle,Radicle,MMM,1,0,False,,17,,RICE,
180621_P90051_QE_HFX_Rice_Missi_Sample_2_HpH_3,Radicle,Radicle,MMM,1,0,False,,18,,RICE,
